千与千寻 千と千尋の神隠し,,,,,,,,,
熔炉 도가니,杀人回忆,素媛,恐怖直播,,,,,,
素媛 소원,熔炉,杀人回忆,恐怖直播,,,,,,
辩护人 변호인,杀人回忆,熔炉,恐怖直播,追击者,黄海,新世界,素媛,,
七武士 七人の侍,影武者,乱,蜘蛛巢城,,,,,,
一一,东京物语,步履不停,,,,,,,
春光乍泄 春光乍洩,,,,,,,,,
无人知晓 誰も知らない,步履不停,如父如子,比海更深,东京物语,海街日记,小偷家族,奇迹,,
忠犬八公物语 ハチ公物語,导盲犬小Q,,,,,,,,
小森林 夏秋篇 リトル・フォレスト 夏・秋,小森林 冬春篇,海街日记,,,,,,,
小森林 冬春篇 リトル・フォレスト 冬・春,小森林 夏秋篇,海街日记,,,,,,,
情书 Love Letter,,,,,,,,,
杀人回忆 살인의 추억,恐怖直播,追击者,,,,,,,
入殓师 おくりびと,步履不停,海街日记,小偷家族,小森林 夏秋篇,,,,,
菊次郎的夏天 菊次郎の夏,,,,,,,,,
7号房的礼物 7번방의 선물,82年生的金智英,小偷家族,,,,,,,
萤火之森 蛍火の杜へ,侧耳倾听,穿越时空的少女,秒速5厘米,,,,,,
侧耳倾听 耳をすませば,岁月的童话,起风了,,,,,,,
新世界 신세계,黄海,与犯罪的战争：坏家伙的全盛时代,局内人,,,,,,
东京教父 東京ゴッドファーザーズ,千年女优,,,,,,,,
寄生虫 기생충,杀人回忆,,,,,,,,
你看起来好像很好吃 おまえうまそうだな,,,,,,,,,
我爱你 그대를 사랑합니다,假如爱有天意,,,,,,,,
罗生门 羅生門,杀人回忆,,,,,,,,
小偷家族 万引き家族,步履不停,如父如子,海街日记,比海更深,82年生的金智英,,,,
恐怖直播 더 테러 라이브,杀人回忆,追击者,,,,,,,
爱·回家 집으로...,东京物语,步履不停,世上最美的离别,结婚礼服,,,,,
比海更深 海よりもまだ深く,步履不停,如父如子,海街日记,东京物语,奇迹,小偷家族,,,
攻壳机动队2：无罪 攻殻機動隊2 イノセンス,星际牛仔：天国之门,福音战士新剧场版：序,新世纪福音战士剧场版：Air/...,人狼,空中杀手,千年女优,,,
横道世之介,花束般的恋爱,偶然与想象,那年夏天，宁静的海,春天情书,情书,,,,
影武者,乱,蜘蛛巢城,七武士,战国英豪,虎！虎！虎！,,,,
﻿,,,,,,,,,
一一,东京物语,步履不停,,,,,,,
春光乍泄 春光乍洩,,,,,,,,,
情书 Love Letter,,,,,,,,,
萤火之森 蛍火の杜へ,侧耳倾听,穿越时空的少女,秒速5厘米,,,,,,
侧耳倾听 耳をすませば,岁月的童话,起风了,,,,,,,
我爱你 그대를 사랑합니다,假如爱有天意,,,,,,,,
千年女优 千年女優,东京教父,,,,,,,,
横道世之介,花束般的恋爱,偶然与想象,那年夏天，宁静的海,春天情书,情书,,,,
花束般的恋爱 花束みたいな恋をした,偶然与想象,情书,,,,,,,
穿越时空的少女 時をかける少女,千年女优,,,,,,,,
你的名字。 君の名は。,秒速5厘米,千与千寻,,,,,,,
花火 HANA-BI,那年夏天，宁静的海,奏鸣曲,凶暴的男人,大佬,,,,,
岁月的童话 おもひでぽろぽろ,百变狸猫,听到涛声,侧耳倾听,,,,,,
假如爱有天意 클래식,我脑中的橡皮擦,雏菊,我的野蛮女友,,,,,,
万物理论 The Theory of Everything,,,,,,,,,
那年夏天，宁静的海 あの夏、いちばん静かな海。,花火,,,,,,,,
绿洲 오아시스,薄荷糖,偶然与想象,那年夏天，宁静的海,,,,,,
秒速5厘米 秒速5センチメートル,穿越时空的少女,云的彼端，约定的地方,,,,,,,
我的野蛮女友 엽기적인 그녀,雏菊,我脑中的橡皮擦,,,,,,,
起风了 風立ちぬ,侧耳倾听,,,,,,,,
花与爱丽丝 花とアリス,梦旅人,那年夏天，宁静的海,燕尾蝶,情书,,,,,
现在去见你 지금 만나러 갑니다,我脑中的橡皮擦,假如爱有天意,花束般的恋爱,内在美,,,,,
雏菊 데이지,我脑中的橡皮擦,假如爱有天意,悲伤电影,我的野蛮女友,,,,,
青之炎 青の炎,恶人,检察方的罪人,即使这样也不是我做的,愚行录,杀人回忆,怒,庸才,,
黄昏的清兵卫 たそがれ清兵衛,隐剑鬼爪,武士的一分,浮云,情迷意乱,其后,远山的呼唤,女人步上楼梯时,,
﻿,,,,,,,,,
七武士 七人の侍,影武者,乱,蜘蛛巢城,,,,,,
杀人回忆 살인의 추억,恐怖直播,追击者,,,,,,,
黄海 황해,追击者,我要复仇,特工,杀人回忆,恐怖直播,与犯罪的战争：坏家伙的全盛时代,局内人,新世界,蒙太奇
乱,影武者,蜘蛛巢城,七武士,战国英豪,虎！虎！虎！,,,,
切腹,椿三十郎,大菩萨岭,夺命剑,用心棒,侍,影武者,,,
老男孩 올드보이,黄海,我要复仇,杀人回忆,亲切的金子,追击者,,,,
用心棒,椿三十郎,大菩萨岭,姿三四郎,夺命剑,战国英豪,,,,
孤胆特工 아저씨,柏林,黄海,老手,,,,,,
黑客帝国动画版 The Animatrix,人狼,,,,,,,,
﻿,,,,,,,,,
杀人回忆 살인의 추억,恐怖直播,追击者,,,,,,,
新世界 신세계,黄海,与犯罪的战争：坏家伙的全盛时代,局内人,,,,,,
罗生门 羅生門,杀人回忆,,,,,,,,
小偷家族 万引き家族,步履不停,如父如子,海街日记,比海更深,82年生的金智英,,,,
恐怖直播 더 테러 라이브,杀人回忆,追击者,,,,,,,
燕尾蝶 スワロウテイル,梦旅人,花与爱丽丝,关于莉莉周的一切,,,,,,
花火 HANA-BI,那年夏天，宁静的海,奏鸣曲,凶暴的男人,大佬,,,,,
金福南杀人事件始末 김복남 살인사건의 전말,追击者,黄海,看见恶魔,杀人回忆,我要复仇,亲切的金子,蒙太奇,恐怖直播,
黄海 황해,追击者,我要复仇,特工,杀人回忆,恐怖直播,与犯罪的战争：坏家伙的全盛时代,局内人,新世界,蒙太奇
坏孩子的天空 キッズ・リターン,那年夏天，宁静的海,花火,薄荷糖,,,,,,
追击者 추격자,黄海,杀人回忆,蒙太奇,恐怖直播,特工,我要复仇,,,
嫌疑人X的献身 容疑者Xの献身,盛夏的方程式,神探伽利略XX 内海薰最后的案...,金色梦乡,,,,,,
青之炎 青の炎,恶人,检察方的罪人,即使这样也不是我做的,愚行录,杀人回忆,怒,庸才,,
椿三十郎,姿三四郎,大菩萨岭,用心棒,夺命剑,战国英豪,侍,,,
回家的路 집으로 가는 길,国际市场,如父如子,82年生的金智英,许三观,母亲,季春奶奶,世上最美的离别,,
母亲 마더,杀人回忆,追击者,蒙太奇,那家伙的声音,特工,黄海,恐怖直播,燃烧,
孤胆特工 아저씨,柏林,黄海,老手,,,,,,
蒙太奇 몽타주,追击者,杀人回忆,特工,恐怖直播,黄海,,,,
暗杀 암살,军舰岛,柏林,,,,,,,
大佬 Brother,奏鸣曲,凶暴的男人,座头市,花火,,,,,
燃烧 버닝,特工,杀人回忆,,,,,,,
局内人 내부자들,黄海,特工,与犯罪的战争：坏家伙的全盛时代,新世界,老千,追击者,王者,蒙太奇,
空房间 빈집,春夏秋冬又一春,时间,呼吸,弓,,,,,
小委托人 어린 의뢰인,82年生的金智英,恶人传,黄海,蒙太奇,追击者,国际市场,局内人,,
天国与地狱 天国と地獄,野良犬,恶汉甜梦,泥醉天使,复仇在我,,,,,
座头市 座頭市,大佬,凶暴的男人,椿三十郎,奏鸣曲,大菩萨岭,花火,,,
看见恶魔 악마를 보았다,追击者,我要复仇,黄海,金福南杀人事件始末,阿修罗,亲切的金子,老千,邻居,与犯罪的战争：坏家伙的全盛时代
追捕 君よ憤怒の河を渉れ,人证,,,,,,,,
美好的世界 すばらしき世界,孤狼之血,,,,,,,,
奏鸣曲 ソナチネ,大佬,凶暴的男人,3–4x10月,花火,座头市,复仇在我,,,
老手 베테랑,老千,阿修罗,黄海,恶人传,,,,,
王者 더 킹,老千,与犯罪的战争：坏家伙的全盛时代,局内人,阿修罗,新世界,老手,骗子,,
杀人者的记忆法 살인자의 기억법,蒙太奇,特工,追击者,那家伙的声音,杀人回忆,邻居,电话,,
