杀人回忆 살인의 추억,追击者,,,,,
花火 HANA-BI,大佬,,,,,
杀人回忆 살인의 추억,追击者,,,,,
釜山行 부산행,,,,,,
老男孩 올드보이,亲切的金子,追击者,,,,
用心棒,,,,,,
孤胆特工 아저씨,,,,,,
杀人回忆 살인의 추억,追击者,,,,,
花火 HANA-BI,大佬,,,,,
金福南杀人事件始末 김복남 살인사건의 전말,追击者,看见恶魔,亲切的金子,蒙太奇,,
追击者 추격자,蒙太奇,不可饶恕,走到尽头,,,
椿三十郎,,,,,,
母亲 마더,追击者,蒙太奇,那家伙的声音,,,
孤胆特工 아저씨,,,,,,
蒙太奇 몽타주,追击者,不可饶恕,走到尽头,,,
大佬 Brother,,,,,,
局内人 내부자들,卑劣的街头,追击者,不当交易,蒙太奇,,
卑劣的街头 비열한 거리,,,,,,
走到尽头 끝까지 간다,蒙太奇,追击者,不可饶恕,不当交易,我是杀人犯,
看见恶魔 악마를 보았다,追击者,金福南杀人事件始末,不可饶恕,亲切的金子,邻居,
杀人者的记忆法 살인자의 기억법,蒙太奇,不可饶恕,记忆之夜,追击者,那家伙的声音,邻居
