电话谋杀案,,,,,,
小丑,沉默的羔羊,,,,,
惊魂记,,,,,,
小丑,沉默的羔羊,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,
血钻,小丑,沉默的羔羊,,,,
搏击俱乐部 Fight Club,沉默的羔羊,,,,,
末路狂花,血钻,,,,,
禁闭岛 Shutter Island,沉默的羔羊,,,,,
蝴蝶效应 The Butterfly Effect,,,,,,
沉默的羔羊 The Silence of the Lambs,电锯惊魂,,,,,
致命魔术 The Prestige,,,,,,
落水狗,,,,,,
落水狗,罪恶之城,,,,,
沉默的羔羊,,,,,,
第六感 The Sixth Sense,沉默的羔羊,,,,,
血钻,,,,,,
末路狂花,沉默的羔羊,,,,,
七宗罪 Se7en,沉默的羔羊,,,,,
后窗,惊魂记,西北偏北,,,,
千钧一发 Gattaca,,,,,,
电话谋杀案,,,,,,
记忆碎片 Memento,,,,,,
血钻 Blood Diamond,,,,,,
末路狂花,老无所依,,,,,
侏罗纪公园,,,,,,
杀手,电话谋杀案,,,,,
老无所依 No Country for Old Men,冰血暴,沉默的羔羊,落水狗,,,
迷魂记 Vertigo,后窗,西北偏北,电话谋杀案,惊魂记,夺魂索,群鸟
西北偏北,后窗,电话谋杀案,夺魂索,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,
搏击俱乐部 Fight Club,沉默的羔羊,,,,,
沉默的羔羊,,,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,,,,,,
杀死比尔,落水狗,,,,,
谍影重重3 The Bourne Ultimatum,碟中谍,,,,,
侏罗纪公园,,,,,,
杀死比尔,,,,,,
谍影重重2 The Bourne Supremacy,碟中谍,,,,,
招魂,孤儿怨,沉默的羔羊,电锯惊魂,,,
拆弹部队,,,,,,
谍影重重 The Bourne Identity,碟中谍,,,,,
生死时速,碟中谍,虎胆龙威,,,,
蝙蝠侠：侠影之谜 Batman Begins,,,,,,
银翼杀手,,,,,,
变脸 Face/Off,生死时速,碟中谍,,,,
碟中谍4,,,,,,
碟中谍5：神秘国度,,,,,,
碟中谍4,,,,,,
钢铁侠 Iron Man,,,,,,
碟中谍4 Mission: Impossible - Ghost Protocol,碟中谍3,,,,,
碟中谍4,,,,,,
杀死比尔 Kill Bill: Vol. 1,杀死比尔2,罪恶之城,落水狗,,,
银翼杀手,,,,,,
侏罗纪公园,,,,,,
第九区 District 9,,,,,,
训练日,,,,,,
碟中谍4,,,,,,
侏罗纪公园,银翼杀手,,,,,
罪恶之城 Sin City,杀死比尔,罪恶之城2,落水狗,,,
盗火线 Heat,情枭的黎明,疤面煞星,训练日,,,
王牌对王牌 The Negotiator,十一罗汉,,,,,
飓风营救 Taken,碟中谍4,金蝉脱壳,,,,
侏罗纪公园,银翼杀手,,,,,
死神来了,招魂,,,,,
碟中谍6：全面瓦解 Mission: Impossible - Fallout,碟中谍5：神秘国度,,,,,
"我，机器人 I, Robot",少数派报告,侏罗纪公园,,,,
侏罗纪公园,银翼杀手,,,,,
碟中谍4,,,,,,
侏罗纪公园,,,,,,
终结者 The Terminator,侏罗纪公园,,,,,
空中监狱 Con Air,生死时速,极速60秒,虎胆龙威4,断箭,,
侏罗纪公园,银翼杀手,,,,,
电话谋杀案,,,,,,
蝙蝠侠：黑暗骑士 The Dark Knight,,,,,,
血钻,小丑,沉默的羔羊,,,,
电话谋杀案,,,,,,
末路狂花,血钻,,,,,
落水狗,罪恶之城,,,,,
杀手,末路狂花,,,,,
沉默的羔羊 The Silence of the Lambs,电锯惊魂,,,,,
落水狗,,,,,,
沉默的羔羊,,,,,,
血钻,,,,,,
末路狂花,沉默的羔羊,,,,,
末路狂花 Thelma &amp; Louise,老无所依,落水狗,杀死比尔,,,
惊魂记,,,,,,
杀手,电话谋杀案,,,,,
七宗罪 Se7en,沉默的羔羊,,,,,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,,,,,,
末路狂花,天才瑞普利,,,,,
后窗,惊魂记,西北偏北,,,,
电话谋杀案 Dial M for Murder,后窗,西北偏北,夺魂索,火车怪客,惊魂记,
杀手,,,,,,
小丑 Joker,沉默的羔羊,,,,,
消失的爱人 Gone Girl,沉默的羔羊,,,,,
记忆碎片 Memento,,,,,,
洛城机密 L.A. Confidential,天才瑞普利,老无所依,,,,
拆弹部队,,,,,,
杀手,,,,,,
落水狗,末路狂花,老无所依,,,,
末路狂花,落水狗,杀死比尔,,,,
老无所依,血钻,,,,,
落水狗,杀死比尔,,,,,
非常嫌疑犯 The Usual Suspects,,,,,,
电锯惊魂,,,,,,
冰血暴,情枭的黎明,疤面煞星,老无所依,落水狗,,
训练日,,,,,,
沉默的羔羊,黑天鹅,孤儿怨,电锯惊魂,,,
网络谜踪 Searching,,,,,,
蝙蝠侠：侠影之谜 Batman Begins,,,,,,
变脸 Face/Off,生死时速,碟中谍,,,,
碟中谍4,,,,,,
落水狗,末路狂花,疤面煞星,,,,
落水狗,,,,,,
碟中谍5：神秘国度,,,,,,
电话谋杀案,后窗,西北偏北,,,,
套装,,,,,,
电话谋杀案,后窗,西北偏北,,,,
杀手,冰血暴,电话谋杀案,,,,
盗火线 Heat,情枭的黎明,疤面煞星,训练日,,,
王牌对王牌 The Negotiator,十一罗汉,,,,,
杀手,老无所依,,,,,
疤面煞星,情枭的黎明,落水狗,,,,
落水狗 Reservoir Dogs,疤面煞星,末路狂花,,,,
罪恶之城 Sin City,杀死比尔,罪恶之城2,落水狗,,,
罪恶之城,落水狗,老无所依,,,,
西北偏北,电话谋杀案,后窗,,,,
杀死比尔 Kill Bill: Vol. 1,杀死比尔2,罪恶之城,落水狗,,,
情枭的黎明 Carlito's Way,疤面煞星,铁面无私,,,,
老无所依 No Country for Old Men,冰血暴,沉默的羔羊,落水狗,,,
飓风营救 Taken,碟中谍4,金蝉脱壳,,,,
汉尼拔 Hannibal,红龙,沉默的羔羊,死神来了,,,
惊魂记,群鸟,,,,,
夜行者 Nightcrawler,老无所依,,,,,
危情十日 Misery,惊魂记,孤儿怨,,,,
杀手,,,,,,
碟中谍4,,,,,,
杀死比尔2,落水狗,罪恶之城,金刚不坏,危险关系,疾速追杀,
空中监狱 Con Air,生死时速,极速60秒,虎胆龙威4,断箭,,
唐人街 Chinatown,西北偏北,电话谋杀案,后窗,,,
天才瑞普利 The Talented Mr. Ripley,,,,,,
天才瑞普利,十一罗汉,老无所依,,,,
疤面煞星 Scarface,情枭的黎明,落水狗,,,,
老无所依,,,,,,
生死时速 Speed,断箭,虎胆龙威,碟中谍,,,
杀死比尔2 Kill Bill: Vol. 2,杀死比尔,罪恶之城,落水狗,碟中谍,,
双重赔偿 Double Indemnity,电话谋杀案,西北偏北,火车怪客,历劫佳人,后窗,
龙纹身的女孩 The Girl with the Dragon Tattoo,,,,,,
杀手 The Killing,杀手之吻,,,,,
杀手,,,,,,
迫在眉梢 John Q,训练日,,,,,
虎胆龙威 Die Hard,虎胆龙威2,生死时速,碟中谍,断箭,,
碟中谍6：全面瓦解,,,,,,
大佬 Brother,疤面煞星,情枭的黎明,,,,
虎胆龙威4,碟中谍3,,,,,
夜行者,,,,,,
电话谋杀案,死亡约会,,,,,
杀手,,,,,,
情枭的黎明,疤面煞星,铁面无私,,,,
末路狂花,夜行者,天才瑞普利,,,,
抢钱大作战,老无所依,十一罗汉,,,,
十一罗汉,偷天换日,剑鱼行动,,,,
疾速追杀3,伸冤人,,,,,
处刑人 The Boondock Saints,罪恶之城,落水狗,怒火攻心,,,
末路狂花,,,,,,
后窗,,,,,,
边境杀手,老无所依,冰血暴,夜行者,恐袭波士顿,,
碟中谍3,金蝉脱壳,,,,,
末路狂花,血钻,,,,,
碟中谍3,,,,,,
狙击电话亭 Phone Booth,,,,,,
冰血暴 Fargo,老无所依,落水狗,末路狂花,,,
十一罗汉 Ocean's Eleven,十三罗汉,十二罗汉,偷天换日,剑鱼行动,,
小丑,,,,,,
疾速追杀3 John Wick: Chapter 3 - Parabellum,疾速追杀2,惊天营救,伸冤人,碟中谍5：神秘国度,,
训练日 Training Day,借刀杀人,剑鱼行动,偷天换日,十一罗汉,,
夺魂索 Rope,火车怪客,电话谋杀案,西北偏北,后窗,,
少数派报告 Minority Report,,,,,,
续命之徒：绝命毒师电影 El Camino: A Breaking Bad Movie,老无所依,小丑,,,,
杀手,,,,,,
老无所依,恐袭波士顿,,,,,
金蝉脱壳,,,,,,
杀手,,,,,,
罪恶之城,末路狂花,落水狗,杀死比尔,金刚不坏,,
疾速追杀2 John Wick: Chapter 2,疾速追杀3,碟中谍3,伸冤人,会计刺客,边境杀手,
西北偏北,,,,,,
疾速追杀 John Wick,疾速追杀2,伸冤人,碟中谍5：神秘国度,边境杀手,,
疾速追杀3,惊天营救,伸冤人,,,,
套装,,,,,,
精英部队 Tropa de Elite,边境杀手,训练日,,,,
火车怪客 Strangers on a Train,夺魂索,西北偏北,电话谋杀案,,,
疤面煞星,,,,,,
神秘河 Mystic River,,,,,,
亡命天涯 The Fugitive,生死时速,虎胆龙威,断箭,,,
红龙 Red Dragon,沉默的羔羊,,,,,
偷天陷阱 Entrapment,偷天换日,生死时速,断箭,剑鱼行动,虎胆龙威4,
边境杀手 Sicario,疾速追杀2,老无所依,伸冤人,会计刺客,,
达·芬奇密码,,,,,,
美国精神病人 American Psycho,老无所依,红龙,危情十日,惊魂记,天才瑞普利,
训练日,情枭的黎明,毁灭之路,疤面煞星,无间道风云,,
边境杀手,夜行者,套装,恐袭波士顿,老无所依,,
天才瑞普利,末路狂花,,,,,
末路狂花,罪恶之城,落水狗,,,,
电话谋杀案,历劫佳人,,,,,
