追随,
追随,
蝙蝠侠：黑暗骑士 The Dark Knight,
追随,
追随,
汉尼拔,
致命魔术 The Prestige,
追随,
追随,
2001太空漫游,
追随,
2001太空漫游,
血钻 Blood Diamond,
2001太空漫游,
追随,
三十九级台阶,
追随,
苦月亮 Bitter Moon,
三十九级台阶,
2001太空漫游,
蝙蝠侠：黑暗骑士 The Dark Knight,
2001太空漫游,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,
2001太空漫游,
2001太空漫游,
追随,
蝙蝠侠：侠影之谜 Batman Begins,
2001太空漫游,
2001太空漫游,
追随,
飓风营救 Taken,
2001太空漫游,
终结者 The Terminator,
2001太空漫游,
追随,
蝙蝠侠：黑暗骑士 The Dark Knight,
汉尼拔,
末路狂花 Thelma &amp; Louise,
追随 Following,
追随,
蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises,
追随,
三十九级台阶,
追随,
追随,
追随,
追随,
追随,
追随,
追随,
追随,
蝙蝠侠：侠影之谜 Batman Begins,
追随,
追随,
飓风营救 Taken,
汉尼拔 Hannibal,少年汉尼拔
追随,
追随,
微不足道,
第三人,
追随,
007之黄金眼,
官方机密,
第三人,
追随,
追随,
007之黄金眼,
微不足道,
大佬 Brother,
追随,
微不足道 Big Nothing,
冰血暴 Fargo,
三十九级台阶,
三十九级台阶,
追随,
三十九级台阶,狂凶记
追随,
浪人,
汉尼拔,少年汉尼拔
偷天陷阱 Entrapment,
汉尼拔,
微不足道,
微不足道,
微不足道,
第三人,足迹
